channel,N,news_source
TEDx Talks,110,TED
Vox,42,Vox
HooverInstitution,36,Hoover Institution
Al Jazeera English,33,Al Jazeera
Vsauce,30,Vsauce
TED,28,TED
Veritasium,24,Veritasium
DW Documentary,21,DW News 
PowerfulJRE,18,PowerfulJRE
The Infographics Show,18,The Infographics Show
History Matters,16,History Matters
NBC News,16,NBC News
BuzzFeed Multiplayer,14,Buzzfeed
It's Okay To Be Smart,14,It's Okay To Be Smart
Kurzgesagt – In a Nutshell,13,Kurzgesagt – In a Nutshell
NASA,12,NASA
PBS Eons,12,PBS News Hour
CNBC,11,CNBC
History With Hilbert,10,History With Hilbert
AsapSCIENCE,9,AsapSCIENCE
CBN News,9,Christian Broadcasting Network
PBS NewsHour,9,PBS News Hour
Al Jazeera Arabic قناة الجزيرة,8,Al Jazeera
CBS News,8,CBS News
CNN,8,CNN
Kings and Generals,8,NA
Timeline - World History Documentaries,8,NA
Better Than Yesterday,7,NA
Epic History TV,7,NA
MSNBC,7,MSNBC
Talks at Google,7,NA
The Royal Institution,7,The Royal Institution
WIRED,7,Wired Magazine
ABC News,6,ABC News
Bloomberg,6,Bloomberg
CNA,6,Channel News Asia CNA
DDPmeetings,6,DDPmeetings
Flash Point History,6,NA
Fox News,6,Fox News
Insight SBS,6,Special Broadcasting Service
The Tank Museum,6,NA
Wendover Productions,6,Wendover Productions
WWF International,6,WWF International
fullychargedshow,5,NA
hazards and catastrophes,5,NA
Liberty University,5,Liberty University
ReaganFoundation,5,Reagan Library
Stanford,5,Stanford
The Heritage Foundation,5,Heritage Foundation
Tom Bilyeu,5,NA
TopherField,5,TopherField
vpro documentary,5,NA
Yahoo Finance,5,Yahoo News
Brew,4,NA
CBC News,4,CBC News
English with Lucy,4,NA
Fall of Civilizations,4,NA
Fire of Learning,4,NA
History Time,4,NA
Mind Field,4,NA
SBS Dateline,4,Special Broadcasting Service
Sky News,4,Sky News
Strange Parts,4,NA
The Histocrat,4,NA
Washington Post,4,Washington Post
Wyoming PBS,4,PBS News Hour
ABC News In-depth,3,ABC News
Foreign Policy Association,3,NA
Global News,3,Global News
HinduismTodayVideos,3,NA
Imperial College London,3,Imperial College London
Jack Rickard,3,NA
Journeyman Pictures,3,NA
Learn English with Gill (engVid),3,NA
LetThemTalkTV,3,NA
Naked Science,3,NA
NowThis News,3,NA
Perimeter Institute for Theoretical Physics,3,NA
Periodic Videos,3,NA
SandRhoman History,3,NA
The Daily Conversation,3,NA
The Daily Show with Trevor Noah,3,Comedy Central
The Economist,3,The Economist
VICE News,3,Vice News
World Government Summit,3,NA
92nd Street Y,2,Left-Center
After Skool,2,NA
BBC News,2,BBC News
BBC Newsnight,2,BBC News
Best of It's Okay To Be Smart!,2,It's Okay To Be Smart
Business Insider,2,Business Insider
CBC News: The National,2,CBC News
Chicago Humanities Festival,2,Chicago Humanities Festival
CNBC Television,2,CNBC
Doctor Mike Hansen,2,NA
"European Space Agency, ESA",2,NA
Evan Carmichael,2,NA
Everyday Astronaut,2,NA
HistoryMarche,2,NA
How To Academy,2,NA
How Your Body Works!,2,NA
Huckabee,2,NA
ideacity,2,NA
Institute of Public Affairs,2,Institute of Public Affairs
Late Night with Seth Meyers,2,NBC News
Learn Engineering,2,NA
Lectures by Walter Lewin. They will make you ♥ Physics.,2,NA
Lindybeige,2,NA
Mark Felton Productions,2,NA
Minds Eye Design,2,NA
Politics and Prose,2,Politics and Prose
Professor Dave Explains,2,NA
Quantum Gravity Research,2,NA
RealLifeLore,2,NA
ReasonTV,2,NA
Reel Truth Science Documentaries,2,NA
space and astronomy,2,NA
Space Videos,2,NA
Technique Critique,2,NA
The Agenda with Steve Paikin,2,NA
The Gateway Foundation,2,NA
The Good Stuff,2,NA
The Ocean Cleanup,2,The Ocean Cleanup
The_Chieftain,2,NA
thechesswebsite,2,NA
Tom McElroy-Wild Survival,2,NA
University of California Television (UCTV),2,University of California Television (UCTV)
WIRED UK,2,Wired Magazine
Yemen,2,NA
aabgu,1,NA
ABC Science,1,ABC News
abcqanda,1,NA
ABP NEWS,1,NA
Absolute History,1,NA
Agatan Foundation,1,Agatan Foundation
AlArabiya العربية,1,Al Arabiya English
AlHadath الحدث,1,NA
All Hands,1,NA
Alltime10s,1,NA
Alux.com,1,Alux.com
American Museum of Natural History,1,NA
Andrew DC TV,1,NA
Anglophenia,1,NA
Aramco,1,NA
Asian Boss,1,NA
ATOM,1,NA
Back Intelligence,1,NA
BBC News Africa,1,BBC News
BeckmanInstitute,1,NA
Belfer Center,1,NA
Ben Sullins,1,NA
BePure - Ben Warren,1,NA
Big Think,1,Big Think
bill wurtz,1,NA
biointeractive,1,NA
BuzzFeed UK,1,Buzzfeed
BuzzFeed Unsolved Network,1,Buzzfeed
C-SPAN,1,C-Span
Cambridge University,1,NA
CaspianReport,1,NA
CBS,1,CBS News
Cerebralfire,1,NA
CGTN,1,China Global Television Network
Channel 4 News,1,Channel 4 News
Channels Television,1,NA
Chesapeake Urology,1,NA
ChessNetwork,1,NA
China in Focus - NTD,1,NTD.TV 
China Uncensored,1,NA
Choose Your Boat,1,NA
Chromosome8,1,NA
Closer To Truth,1,NA
CMX,1,NA
CNA Insider,1,Channel News Asia CNA
CNN-News18,1,CNN
Commonwealth Club,1,NA
Compiler Revolt,1,NA
Conversations That Matter,1,Conversations That Matter
Corporals Corner,1,NA
CUNYQueensborough,1,NA
Dad Builds a House,1,NA
Daniel Halsey,1,NA
Derek Van Schaik,1,NA
Diet Doctor,1,NA
Dig And Delve,1,NA
Digiday,1,NA
Discover,1,NA
Documentary Base,1,NA
Documentary House 2.0,1,NA
Dreksler Astral,1,NA
Drew Durnil,1,NA
DTTV - Science Answers,1,NA
Earth Titan,1,NA
EatSleepCruise.com,1,NA
ECHO Inc.,1,ECHO Inc.
EdChoice,1,NA
efixx,1,NA
euronews (in English),1,Euronews 
Eyewitness News ABC7NY,1,Eyewitness News ABC7NY
Flagey,1,NA
FLORB,1,NA
FOCLOnline,1,NA
Fondation Mérieux,1,NA
FORA.tv,1,FORA.tv
Forces TV,1,NA
FOX 10 Phoenix,1,FOX 10 Phoenix
Fox Business,1,Fox News
FOX31 Denver,1,FOX31 Denver
Friends of Science,1,Friends of Science
General Knowledge,1,NA
Geography Now,1,NA
Great Big Story,1,NA
GWPF,1,NA
Harvard Law School,1,Harvard Law School
Harvard Semitic Museum,1,NA
Harvard University,1,Harvard University
Historia Civilis,1,NA
HomeSteadHow,1,NA
Horizon,1,NA
I Need More Space,1,NA
ian heslop,1,NA
ibx2cat,1,NA
Independent Institute,1,Independent Institute
Intelligence Squared,1,NA
Invicta,1,NA
Jason Fung,1,NA
JFK Library,1,NA
John Nord,1,NA
Just The News,1,NA
Key & Peele,1,NA
KING 5,1,NA
KISSCaltech,1,NA
KnowledgeHub,1,NA
kore kojitsu,1,NA
KoreanBilly's English,1,NA
Kraut,1,NA
KVIEvideo,1,NA
LA MAGRA,1,NA
Lewis Howes,1,NA
Life Noggin,1,NA
Living Web Farms,1,NA
London,1,NA
Long Beach City College,1,NA
Los Angeles,1,NA
Low Carb Down Under,1,NA
MAD LAB,1,NA
Mark Bowden,1,NA
Mark Rober,1,NA
Metafora Production,1,NA
metaRising,1,NA
Military Videos,1,NA
minxinglee1,1,NA
Mitch Manly,1,NA
Montemayor,1,NA
morn1415,1,NA
Motivation Madness,1,NA
mud bug,1,NA
MulliganBrothers,1,NA
NASA Jet Propulsion Laboratory,1,NASA
NASA Video,1,NASA
Nat Geo Abu Dhabi,1,National Geographic
National Geographic,1,National Geographic
nature video,1,NA
NBC New York,1,NBCNewYork.com
NCASVideo,1,NCASVideo
NETNebraska,1,NETNebraska
Ninja Nerd Science,1,NA
officiallor9,1,NA
Oscar Boyson,1,NA
OxfordUnion,1,OxfordUnion
PA3DMI,1,NA
Panama Canal,1,NA
Paul Hicks,1,NA
PBS,1,PBS News Hour
Performance Coaching,1,NA
Permaculturenews,1,NA
Peter Zachar,1,NA
PierceCollegeDist11,1,NA
Plasticized Doc,1,NA
Poly-glot-a-lot,1,NA
PolyMatter,1,NA
Prairie Public,1,NA
Prince Ea,1,NA
Principles by Ray Dalio,1,NA
Public Health Collaboration,1,NA
Real Crusades History,1,NA
Real Royalty,1,NA
Real Stories,1,NA
Republic World,1,Republic World
Rive Monsters 7,1,NA
RT Documentary,1,NA
Saint Louis Chess Club,1,NA
Saint-Hubert,1,NA
Salt Lake City,1,NA
Santa Fe Institute,1,NA
Savory Institute,1,NA
SciShow,1,NA
Second Thought,1,NA
Sigalius Mýricantur,1,NA
Sigmund Orifice,1,NA
Sinai Indaba,1,NA
SMIT Salvage | Towage,1,NA
socratesinthecity,1,NA
Soil Health Institute,1,NA
South Florida PBS,1,PBS News Hour
Space News Pod,1,NA
Spacex,1,NA
Spark,1,NA
Stanford eCorner,1,Stanford
Stanford Graduate School of Business,1,Stanford
Sully Man,1,NA
Syntagma,1,NA
TA Outdoors,1,NA
Tallinn,1,NA
TEAM APHRODITE,1,NA
TED Archive,1,TED
TED-Ed,1,TED
The Black Swan Group,1,NA
The Boiler Room,1,NA
The Boston Globe,1,Boston Globe
The British Museum,1,NA
The Dole Institute of Politics,1,NA
The Finest,1,NA
The Oriental Institute,1,NA
The Prehistory Guys,1,NA
The Space Archive,1,NA
The University of Arizona,1,NA
The University of Melbourne,1,NA
TheUSAHEC,1,NA
THG,1,NA
Thomas Frank,1,NA
Tibetology Sikkim,1,NA
TMIO Tesla,1,NA
To Scale:,1,NA
Tod's Workshop,1,NA
Top5s,1,NA
TradingCoachUK,1,NA
Trend Max,1,NA
truly,1,truly
U.S. Food and Drug Administration,1,NA
UC Davis Health,1,NA
UChicago Social Sciences,1,NA
United Kingdom,1,NA
Unknown5,1,NA
"Up, into space!",1,NA
US National Archives,1,NA
USA,1,NA
USA TODAY,1,USA Today
VideoFromSpace,1,NA
Vincent Racaniello,1,NA
Wall Street Journal,1,Wall Street Journal
War Documentaries,1,NA
WGN RADIO VIDEO,1,NA
William Carroll Broome,1,NA
WIRED Masterminds,1,Wired Magazine
WISDOM FOR LIFE,1,NA
wocomoDOCS,1,NA
Women in the World,1,NA
World Science Festival,1,NA
WORLD.MINDS,1,NA
فرانس 24 / FRANCE 24 Arabic,1,NA
YorkVid,1,NA
القناة الرسمية للإعلامي معتز مطر,1,NA