channel,N
92nd Street Y,2
ABC News,2
ABC News In-depth,2
ABC Science,1
ABP NEWS,1
ATOM,1
Absolute History,1
After Skool,2
Agatan Foundation,1
Al Jazeera Arabic قناة الجزيرة,7
Al Jazeera English,30
AlArabiya العربية,1
AlHadath الحدث,1
Alltime10s,1
American Museum of Natural History,1
Andrew DC TV,1
Anglophenia,1
Aramco,1
AsapSCIENCE,2
BBC News,2
BBC News Africa,1
Belfer Center,1
Ben Sullins,1
Best of It's Okay To Be Smart!,2
Big Think,1
Bloomberg,6
Business Insider,1
BuzzFeed UK,1
C-SPAN,1
CBC News,3
CBC News: The National,1
CBS News,1
CGTN,1
CMX,1
CNA,6
CNA Insider,1
CNBC,10
CNN,2
CNN-News18,1
Cambridge University,1
CaspianReport,1
Cerebralfire,1
Channel 4 News,1
Channels Television,1
Chesapeake Urology,1
ChessNetwork,1
Chicago Humanities Festival,2
China Uncensored,1
China in Focus - NTD,1
Choose Your Boat,1
Chromosome8,1
Commonwealth Club,1
Conversations That Matter,1
Corporals Corner,1
DTTV - Science Answers,1
DW Documentary,21
Dad Builds a House,1
Derek Van Schaik,1
Diet Doctor,1
Digiday,1
Discover,1
Doctor Mike Hansen,2
Documentary Base,1
Documentary House 2.0,1
Dreksler Astral,1
Drew Durnil,1
Earth Titan,1
EatSleepCruise.com,1
English with Lucy,4
Epic History TV,7
"European Space Agency, ESA",2
Evan Carmichael,1
Everyday Astronaut,2
FLORB,1
Fall of Civilizations,4
Fire of Learning,4
Flagey,1
Flash Point History,6
Fondation Mérieux,1
Forces TV,1
Foreign Policy Association,3
Fox News,1
Friends of Science,1
General Knowledge,1
Geography Now,1
Global News,2
Great Big Story,1
Harvard Semitic Museum,1
Harvard University,1
HinduismTodayVideos,3
Historia Civilis,1
History Matters,16
History Time,4
History With Hilbert,10
HistoryMarche,2
HomeSteadHow,1
HooverInstitution,11
Horizon,1
How To Academy,2
How Your Body Works!,2
Huckabee,2
I Need More Space,1
Imperial College London,3
Independent Institute,1
Insight SBS,6
Intelligence Squared,1
Invicta,1
It's Okay To Be Smart,14
Jack Rickard,3
Jason Fung,1
Journeyman Pictures,3
KING 5,1
KISSCaltech,1
KVIEvideo,1
Kings and Generals,8
KnowledgeHub,1
Kraut,1
Kurzgesagt – In a Nutshell,13
LA MAGRA,1
Learn Engineering,2
Learn English with Gill (engVid),3
Lectures by Walter Lewin. They will make you ♥ Physics.,2
LetThemTalkTV,3
Life Noggin,1
Lindybeige,2
London,1
Long Beach City College,1
Low Carb Down Under,1
MAD LAB,1
MSNBC,3
Mark Bowden,1
Mark Felton Productions,2
Metafora Production,1
Mind Field,2
Minds Eye Design,2
Montemayor,1
MulliganBrothers,1
NASA,12
NASA Jet Propulsion Laboratory,1
NASA Video,1
NBC News,8
NCASVideo,1
NETNebraska,1
Naked Science,3
Nat Geo Abu Dhabi,1
National Geographic,1
Ninja Nerd Science,1
NowThis News,1
Oscar Boyson,1
PA3DMI,1
PBS,1
PBS Eons,12
PBS NewsHour,6
Panama Canal,1
Paul Hicks,1
Performance Coaching,1
Perimeter Institute for Theoretical Physics,3
Periodic Videos,3
Peter Zachar,1
Plasticized Doc,1
Politics and Prose,1
Poly-glot-a-lot,1
PowerfulJRE,12
Prairie Public,1
Prince Ea,1
Principles by Ray Dalio,1
Professor Dave Explains,2
Public Health Collaboration,1
Quantum Gravity Research,1
RT Documentary,1
ReaganFoundation,3
Real Crusades History,1
Real Royalty,1
Real Stories,1
RealLifeLore,1
ReasonTV,1
Reel Truth Science Documentaries,2
Republic World,1
Rive Monsters 7,1
SBS Dateline,3
SMIT Salvage | Towage,1
Saint Louis Chess Club,1
Saint-Hubert,1
Salt Lake City,1
SandRhoman History,3
Santa Fe Institute,1
Savory Institute,1
SciShow,1
Second Thought,1
Sigalius Mýricantur,1
Sigmund Orifice,1
Sinai Indaba,1
Sky News,4
South Florida PBS,1
Space News Pod,1
Space Videos,2
Spacex,1
Spark,1
Stanford,1
Stanford Graduate School of Business,1
Stanford eCorner,1
Strange Parts,4
Sully Man,1
Syntagma,1
TA Outdoors,1
TEAM APHRODITE,1
TED,22
TED-Ed,1
TEDx Talks,108
THG,1
TMIO Tesla,1
Talks at Google,1
Technique Critique,2
The Agenda with Steve Paikin,1
The Black Swan Group,1
The British Museum,1
The Daily Conversation,2
The Dole Institute of Politics,1
The Economist,1
The Finest,1
The Gateway Foundation,2
The Good Stuff,2
The Heritage Foundation,2
The Histocrat,4
The Infographics Show,3
The Ocean Cleanup,2
The Oriental Institute,1
The Prehistory Guys,1
The Royal Institution,6
The Space Archive,1
The Tank Museum,6
The University of Arizona,1
The University of Melbourne,1
TheUSAHEC,1
The_Chieftain,2
Tibetology Sikkim,1
Timeline - World History Documentaries,8
To Scale:,1
Tod's Workshop,1
Tom McElroy-Wild Survival,2
Top5s,1
TradingCoachUK,1
Trend Max,1
U.S. Food and Drug Administration,1
UC Davis Health,1
UChicago Social Sciences,1
US National Archives,1
USA,1
USA TODAY,1
United Kingdom,1
University of California Television (UCTV),2
Unknown5,1
"Up, into space!",1
VICE News,3
Veritasium,1
VideoFromSpace,1
Vincent Racaniello,1
Vox,15
Vsauce,14
WIRED,7
WIRED Masterminds,1
WIRED UK,2
WORLD.MINDS,1
WWF International,6
Wall Street Journal,1
War Documentaries,1
Washington Post,4
Wendover Productions,6
World Government Summit,3
Wyoming PBS,4
Yemen,2
YorkVid,1
abcqanda,1
bill wurtz,1
biointeractive,1
efixx,1
euronews (in English),1
fullychargedshow,5
hazards and catastrophes,5
ian heslop,1
ibx2cat,1
ideacity,2
kore kojitsu,1
morn1415,1
mud bug,1
nature video,1
officiallor9,1
space and astronomy,2
thechesswebsite,2
truly,1
vpro documentary,5
wocomoDOCS,1
القناة الرسمية للإعلامي معتز مطر,1