Category,Video count,Channel count,Video %,Channel %,Video relevant
News & Politics,576,121,38%,21%,1
Entertainment,245,82,16%,14%,1
Education,225,98,15%,17%,1
Comedy,55,12,4%,2%,1
Nonprofits & Activism,38,19,3%,3%,1
Relevant total,1139,332,75%,57%,
People & Blogs,130,78,9%,13%,0
Howto & Style,80,49,5%,8%,0
Science & Technology,40,36,3%,6%,0
Film & Animation,37,18,2%,3%,0
Travel & Events,32,19,2%,3%,0
Music,28,17,2%,3%,0
Sports,18,15,1%,3%,0
Autos & Vehicles,14,10,1%,2%,0
Gaming,8,8,1%,1%,0
NaN,1,1,0%,0%,0
Other,178,124,12%,21%,
Total,1'527,583,100%,100%,75%